"","ID","State","StateName","JobCode","JobName","TotalEmployment","AverageHourlySalary","AverageYearlySalary"
"22638","24","MD","Maryland","19-4041","Geological and petroleum technicians",50,23.56,49000
"22639","56","WY","Wyoming","11-9061","Funeral directors",50,23.57,49020
"22640","04","AZ","Arizona","19-1012","Food scientists and technologists",50,23.73,49360
"22641","29","MO","Missouri","19-3093","Historians",50,23.75,49400
"22642","35","NM","New Mexico","29-1129","Therapists, all other",50,23.84,49580
"22643","50","VT","Vermont","19-1012","Food scientists and technologists",50,23.88,49680
"22644","34","NJ","New Jersey","19-4041","Geological and petroleum technicians",50,24.02,49950
"22645","02","AK","Alaska","17-3025","Environmental engineering technicians",50,24.13,50190
"22646","28","MS","Mississippi","27-4099","Media and communication equipment workers, all other",50,24.15,50230
"22647","78","VI","Virgin Islands","11-9081","Lodging managers",50,24.19,50310
"22648","11","DC","District of Columbia","23-2093","Title examiners, abstractors, and searchers",50,24.33,50610
"22649","78","VI","Virgin Islands","17-3023","Electrical and electronic engineering technicians",50,24.7,51380
"22650","72","PR","Puerto Rico","53-6051","Transportation inspectors",50,24.79,51570
"22651","30","MT","Montana","11-9039","Education administrators, all other",50,24.86,51700
"22652","31","NE","Nebraska","33-2021","Fire inspectors and investigators",50,25.11,52220
"22653","27","MN","Minnesota","49-2091","Avionics technicians",50,25.13,52270
"22654","17","IL","Illinois","53-6041","Traffic technicians",50,25.17,52340
"22655","49","UT","Utah","13-1032","Insurance appraisers, auto damage",50,25.17,52360
"22656","56","WY","Wyoming","11-2031","Public relations managers",50,25.2,52420
"22657","46","SD","South Dakota","29-1121","Audiologists",50,25.47,52980
"22658","23","ME","Maine","19-3011","Economists",50,25.48,53000
"22659","38","ND","North Dakota","33-1021","First-line supervisors/managers of fire fighting and prevention workers",50,25.57,53180
"22660","26","MI","Michigan","53-5031","Ship engineers",50,25.75,53570
"22661","18","IN","Indiana","27-4099","Media and communication equipment workers, all other",50,25.85,53770
"22662","32","NV","Nevada","33-3031","Fish and game wardens",50,25.89,53840
"22663","05","AR","Arkansas","51-8012","Power distributors and dispatchers",50,25.91,53890
"22664","05","AR","Arkansas","29-1121","Audiologists",50,26.11,54300
"22665","45","SC","South Carolina","19-1022","Microbiologists",50,26.43,54980
"22666","44","RI","Rhode Island","13-1061","Emergency management specialists",50,26.78,55710
"22667","29","MO","Missouri","19-1099","Life scientists, all other",50,26.86,55870
"22668","32","NV","Nevada","19-1022","Microbiologists",50,26.98,56120
"22669","38","ND","North Dakota","13-2081","Tax examiners, collectors, and revenue agents",50,27.19,56550
"22670","53","WA","Washington","51-8092","Gas plant operators",50,27.24,56670
"22671","22","LA","Louisiana","11-9011","Farm, ranch, and other agricultural managers",50,27.31,56810
"22672","34","NJ","New Jersey","17-3021","Aerospace engineering and operations technicians",50,27.42,57020
"22673","12","FL","Florida","19-3093","Historians",50,27.46,57110
"22674","32","NV","Nevada","53-2022","Airfield operations specialists",50,27.47,57130
"22675","46","SD","South Dakota","49-2095","Electrical and electronics repairers, powerhouse, substation, and relay",50,27.55,57300
"22676","30","MT","Montana","15-2041","Statisticians",50,27.75,57730
"22677","78","VI","Virgin Islands","49-2094","Electrical and electronics repairers, commercial and industrial equipment",50,27.84,57900
"22678","16","ID","Idaho","19-3011","Economists",50,27.9,58030
"22679","56","WY","Wyoming","13-2053","Insurance underwriters",50,27.95,58130
"22680","53","WA","Washington","53-7031","Dredge operators",50,28.11,58470
"22681","38","ND","North Dakota","15-2041","Statisticians",50,28.13,58500
"22682","66","GU","Guam","11-9041","Engineering managers",50,28.27,58800
"22683","21","KY","Kentucky","19-3091","Anthropologists and archeologists",50,28.36,58990
"22684","35","NM","New Mexico","19-1032","Foresters",50,28.57,59420
"22685","11","DC","District of Columbia","29-9099","Healthcare practitioners and technical workers, all other",50,28.6,59480
"22686","56","WY","Wyoming","51-8012","Power distributors and dispatchers",50,28.62,59540
"22687","50","VT","Vermont","29-2033","Nuclear medicine technologists",50,28.66,59620
"22688","21","KY","Kentucky","15-2041","Statisticians",50,28.79,59870
"22689","30","MT","Montana","11-3049","Human resources managers, all other",50,28.8,59900
"22690","11","DC","District of Columbia","51-9081","Dental laboratory technicians",50,28.81,59910
"22691","30","MT","Montana","29-2033","Nuclear medicine technologists",50,28.81,59930
"22692","16","ID","Idaho","19-3091","Anthropologists and archeologists",50,28.82,59950
"22693","25","MA","Massachusetts","19-1013","Soil and plant scientists",50,29.03,60390
"22694","10","DE","Delaware","15-2041","Statisticians",50,29.14,60620
"22695","56","WY","Wyoming","11-3061","Purchasing managers",50,29.16,60660
"22696","41","OR","Oregon","11-9011","Farm, ranch, and other agricultural managers",50,29.18,60700
"22697","16","ID","Idaho","29-2033","Nuclear medicine technologists",50,29.33,61010
"22698","54","WV","West Virginia","13-1032","Insurance appraisers, auto damage",50,29.35,61050
"22699","35","NM","New Mexico","11-9071","Gaming managers",50,29.65,61670
"22700","02","AK","Alaska","47-2021","Brickmasons and blockmasons",50,29.77,61910
"22701","20","KS","Kansas","53-2022","Airfield operations specialists",50,29.97,62330
"22702","54","WV","West Virginia","29-1124","Radiation therapists",50,30.1,62600
"22703","02","AK","Alaska","17-3019","Drafters, all other",50,30.12,62640
"22704","40","OK","Oklahoma","19-1041","Epidemiologists",50,30.14,62690
"22705","41","OR","Oregon","19-3092","Geographers",50,30.15,62710
"22706","41","OR","Oregon","17-2031","Biomedical engineers",50,30.51,63450
"22707","40","OK","Oklahoma","27-4099","Media and communication equipment workers, all other",50,30.52,63490
"22708","51","VA","Virginia","19-1041","Epidemiologists",50,30.66,63780
"22709","32","NV","Nevada","13-2061","Financial examiners",50,30.82,64110
"22710","15","HI","Hawaii","29-2033","Nuclear medicine technologists",50,30.87,64210
"22711","31","NE","Nebraska","17-2111","Health and safety engineers, except mining safety engineers and inspectors",50,31.1,64690
"22712","56","WY","Wyoming","53-2021","Air traffic controllers",50,31.13,64750
"22713","33","NH","New Hampshire","19-1029","Biological scientists, all other",50,31.26,65010
"22714","27","MN","Minnesota","47-2072","Pile-driver operators",50,31.3,65100
"22715","49","UT","Utah","11-9011","Farm, ranch, and other agricultural managers",50,31.4,65300
"22716","36","NY","New York","19-3092","Geographers",50,31.45,65410
"22717","08","CO","Colorado","23-1022","Arbitrators, mediators, and conciliators",50,31.62,65770
"22718","15","HI","Hawaii","33-1011","First-line supervisors/managers of correctional officers",50,31.69,65920
"22719","10","DE","Delaware","11-9131","Postmasters and mail superintendents",50,31.78,66110
"22720","56","WY","Wyoming","11-9039","Education administrators, all other",50,31.8,66140
"22721","44","RI","Rhode Island","11-9131","Postmasters and mail superintendents",50,32,66560
"22722","33","NH","New Hampshire","29-2033","Nuclear medicine technologists",50,32.04,66650
"22723","19","IA","Iowa","17-2031","Biomedical engineers",50,32.05,66670
"22724","19","IA","Iowa","19-1099","Life scientists, all other",50,32.31,67210
"22725","28","MS","Mississippi","17-2131","Materials engineers",50,32.32,67220
"22726","38","ND","North Dakota","29-1124","Radiation therapists",50,32.32,67230
"22727","32","NV","Nevada","53-6041","Traffic technicians",50,32.33,67250
"22728","78","VI","Virgin Islands","11-3071","Transportation, storage, and distribution managers",50,32.42,67430
"22729","31","NE","Nebraska","11-9039","Education administrators, all other",50,32.54,67680
"22730","04","AZ","Arizona","19-1022","Microbiologists",50,32.58,67760
"22731","09","CT","Connecticut","19-2021","Atmospheric and space scientists",50,32.77,68170
"22732","23","ME","Maine","19-1022","Microbiologists",50,32.86,68340
"22733","47","TN","Tennessee","11-9011","Farm, ranch, and other agricultural managers",50,33.15,68960
"22734","19","IA","Iowa","19-2099","Physical scientists, all other",50,33.35,69360
"22735","38","ND","North Dakota","17-2041","Chemical engineers",50,33.53,69740
"22736","55","WI","Wisconsin","27-1022","Fashion designers",50,33.82,70340
"22737","78","VI","Virgin Islands","25-9031","Instructional coordinators",50,33.83,70360
"22738","47","TN","Tennessee","23-1022","Arbitrators, mediators, and conciliators",50,33.93,70580
"22739","33","NH","New Hampshire","19-2043","Hydrologists",50,34.06,70840
"22740","78","VI","Virgin Islands","11-9141","Property, real estate, and community association managers",50,34.12,70960
"22741","31","NE","Nebraska","19-1011","Animal scientists",50,34.22,71180
"22742","38","ND","North Dakota","11-3042","Training and development managers",50,34.24,71220
"22743","12","FL","Florida","17-2151","Mining and geological engineers, including mining safety engineers",50,34.38,71520
"22744","12","FL","Florida","19-2032","Materials scientists",50,34.63,72030
"22745","12","FL","Florida","17-2021","Agricultural engineers",50,34.83,72460
"22746","29","MO","Missouri","27-2041","Music directors and composers",50,34.98,72760
"22747","49","UT","Utah","51-8012","Power distributors and dispatchers",50,35.1,73000
"22748","28","MS","Mississippi","11-9039","Education administrators, all other",50,35.27,73360
"22749","32","NV","Nevada","19-1042","Medical scientists, except epidemiologists",50,35.31,73440
"22750","19","IA","Iowa","19-2021","Atmospheric and space scientists",50,35.5,73850
"22751","10","DE","Delaware","29-1124","Radiation therapists",50,35.62,74090
"22752","38","ND","North Dakota","19-1042","Medical scientists, except epidemiologists",50,35.68,74210
"22753","02","AK","Alaska","13-2053","Insurance underwriters",50,35.73,74330
"22754","27","MN","Minnesota","17-2151","Mining and geological engineers, including mining safety engineers",50,36,74870
"22755","44","RI","Rhode Island","17-2041","Chemical engineers",50,36.2,75290
"22756","02","AK","Alaska","11-3042","Training and development managers",50,36.29,75480
"22757","01","AL","Alabama","17-2171","Petroleum engineers",50,36.3,75510
"22758","05","AR","Arkansas","29-1029","Dentists, all other specialists",50,36.47,75850
"22759","22","LA","Louisiana","19-1022","Microbiologists",50,36.48,75890
"22760","08","CO","Colorado","17-2021","Agricultural engineers",50,36.58,76080
"22761","10","DE","Delaware","17-2011","Aerospace engineers",50,37.13,77240
"22762","30","MT","Montana","51-8012","Power distributors and dispatchers",50,37.49,77990
"22763","20","KS","Kansas","19-1041","Epidemiologists",50,37.51,78030
"22764","78","VI","Virgin Islands","17-2041","Chemical engineers",50,38.2,79460
"22765","10","DE","Delaware","19-2012","Physicists",50,38.77,80640
"22766","72","PR","Puerto Rico","23-1021","Administrative law judges, adjudicators, and hearing officers",50,39.15,81420
"22767","30","MT","Montana","53-2021","Air traffic controllers",50,39.46,82080
"22768","50","VT","Vermont","11-3041","Compensation and benefits managers",50,40.1,83410
"22769","44","RI","Rhode Island","29-1011","Chiropractors",50,41.76,86860
"22770","39","OH","Ohio","15-2021","Mathematicians",50,42.43,88260
"22771","15","HI","Hawaii","19-2021","Atmospheric and space scientists",50,42.79,89010
"22772","44","RI","Rhode Island","23-1021","Administrative law judges, adjudicators, and hearing officers",50,42.9,89230
"22773","50","VT","Vermont","11-3049","Human resources managers, all other",50,43.58,90650
"22774","50","VT","Vermont","11-9121","Natural sciences managers",50,43.88,91260
"22775","78","VI","Virgin Islands","29-1069","Physicians and surgeons, all other",50,44.23,92000
"22776","11","DC","District of Columbia","41-9031","Sales engineers",50,44.52,92600
"22777","33","NH","New Hampshire","19-2012","Physicists",50,45.77,95200
"22778","34","NJ","New Jersey","17-2161","Nuclear engineers",50,46.03,95750
"22779","23","ME","Maine","19-2012","Physicists",50,46.4,96520
"22780","38","ND","North Dakota","23-1021","Administrative law judges, adjudicators, and hearing officers",50,47.48,98750
"22781","26","MI","Michigan","17-2171","Petroleum engineers",50,47.63,99060
"22782","11","DC","District of Columbia","15-2021","Mathematicians",50,50.81,105680
"22783","72","PR","Puerto Rico","29-1064","Obstetricians and gynecologists",50,53.61,111500
"22784","66","GU","Guam","53-6021","Parking lot attendants",50,6.59,13700
"22785","72","PR","Puerto Rico","51-4193","Plating and coating machine setters, operators, and tenders, metal and plastic",50,6.7,13930
"22786","31","NE","Nebraska","29-1081","Podiatrists",50,65.29,135810
"22787","45","SC","South Carolina","29-1029","Dentists, all other specialists",50,66.49,138290
"22788","02","AK","Alaska","29-1065","Pediatricians, general",50,67.38,140140
"22789","16","ID","Idaho","27-3012","Public address system and other announcers",50,7.37,15330
"22790","66","GU","Guam","49-3093","Tire repairers and changers",50,7.59,15780
"22791","31","NE","Nebraska","33-9091","Crossing guards",50,7.68,15980
"22792","66","GU","Guam","35-2015","Cooks, short order",50,7.9,16440
"22793","66","GU","Guam","29-1062","Family and general practitioners",50,73.54,152960
"22794","38","ND","North Dakota","29-1066","Psychiatrists",50,73.77,153430
"22795","66","GU","Guam","29-1069","Physicians and surgeons, all other",50,74.41,154780
"22796","20","KS","Kansas","29-1081","Podiatrists",50,76.53,159180
"22797","29","MO","Missouri","29-1029","Dentists, all other specialists",50,77.84,161920
"22798","22","LA","Louisiana","29-1081","Podiatrists",50,78.33,162920
"22799","72","PR","Puerto Rico","51-2031","Engine and other machine assemblers",50,8,16630
"22800","30","MT","Montana","39-6011","Baggage porters and bellhops",50,8.29,17250
"22801","22","LA","Louisiana","51-6063","Textile knitting and weaving machine setters, operators, and tenders",50,8.41,17490
"22802","20","KS","Kansas","35-9099","Food preparation and serving related workers, all other",50,8.48,17640
"22803","21","KY","Kentucky","45-2099","Agricultural workers, all other",50,8.75,18200
"22804","66","GU","Guam","27-3011","Radio and television announcers",50,8.8,18310
"22805","30","MT","Montana","29-1066","Psychiatrists",50,81.14,168780
"22806","31","NE","Nebraska","29-1022","Oral and maxillofacial surgeons",50,83.16,172960
"22807","24","MD","Maryland","39-5091","Makeup artists, theatrical and performance",50,9.06,18840
"22808","66","GU","Guam","47-3015","Helpers--pipelayers, plumbers, pipefitters, and steamfitters",50,9.13,19000
"22809","35","NM","New Mexico","45-2099","Agricultural workers, all other",50,9.14,19010
"22810","05","AR","Arkansas","39-6032","Transportation attendants, except flight attendants and baggage porters",50,9.16,19060
"22811","30","MT","Montana","35-9099","Food preparation and serving related workers, all other",50,9.49,19730
"22812","54","WV","West Virginia","51-9031","Cutters and trimmers, hand",50,9.72,20230
"22813","49","UT","Utah","51-9192","Cleaning, washing, and metal pickling equipment operators and tenders",50,9.81,20400
"22814","16","ID","Idaho","51-4023","Rolling machine setters, operators, and tenders, metal and plastic",50,9.89,20580
"22815","38","ND","North Dakota","49-3091","Bicycle repairers",50,9.91,20610
"22816","66","GU","Guam","39-6012","Concierges",50,9.93,20650
